block:397 count:634, avg:58.698523288382376, last:355
current_num:449, difficulty:162945, pt:10.803020000457764
block:449 count:646, avg:59.79809349354408, last:397
current_num:488, difficulty:166055, pt:10.945041179656982
block:488 count:644, avg:58.83943143100929, last:449
current_num:522, difficulty:168819, pt:10.666866779327393
block:522 count:602, avg:56.43644122064863, last:488
current_num:562, difficulty:172125, pt:10.50544285774231
block:562 count:642, avg:61.11117909959011, last:522
current_num:599, difficulty:175246, pt:10.710075855255127
block:599 count:613, avg:57.23582244277182, last:562
current_num:626, difficulty:177557, pt:10.785080671310425
block:626 count:596, avg:55.26152452298569, last:599
current_num:659, difficulty:180422, pt:10.501504182815552
block:659 count:634, avg:60.37230371602048, last:626
current_num:687, difficulty:182892, pt:10.710453510284424
block:687 count:613, avg:57.23380428395336, last:659
current_num:724, difficulty:186205, pt:10.540219068527222
block:724 count:619, avg:58.727432131682676, last:687
current_num:763, difficulty:189766, pt:10.801742315292358
block:763 count:635, avg:58.78681248496467, last:724
current_num:785, difficulty:191804, pt:10.73702621459961
block:785 count:608, avg:56.626479981326256, last:763
current_num:821, difficulty:195186, pt:10.411860942840576
block:821 count:600, avg:57.62658599590433, last:785
current_num:859, difficulty:198820, pt:10.686560153961182
block:859 count:572, avg:53.52517477646697, last:821
current_num:897, difficulty:202524, pt:10.751866817474365
block:897 count:680, avg:63.24483101807369, last:859
current_num:925, difficulty:205297, pt:10.702727317810059
block:925 count:629, avg:58.770066855137166, last:897
